,season,PRRollman,Isolation,OffRebound,Cut,Postup,Misc,Transition,Spotup,Handoff,OffScreen,PRBallHandler
Tim Frazier,2016-17,0.0,0.096,0.0,0.03,0.0,0.073,0.159,0.153,0.03,0.0,0.433
Tim Hardaway Jr.,2016-17,0.0,0.049,0.024,0.047,0.0,0.046,0.207,0.24,0.079,0.115,0.191
Timofey Mozgov,2016-17,0.147,0.023,0.101,0.213,0.204,0.099,0.071,0.085,0.0,0.05,0.0
Timothe Luwawu-Cabarrot,2016-17,0.0,0.035,0.0,0.08,0.0,0.039,0.209,0.355,0.094,0.08,0.084
Tobias Harris,2016-17,0.104,0.133,0.031,0.03,0.091,0.023,0.137,0.281,0.023,0.04,0.106
Tomas Satoransky,2016-17,0.0,0.061,0.0,0.081,0.0,0.091,0.147,0.223,0.0,0.051,0.259
Toney Douglas,2016-17,0.0,0.073,0.0,0.0,0.0,0.093,0.12,0.2,0.073,0.0,0.327
Tony Allen,2016-17,0.0,0.053,0.159,0.224,0.028,0.064,0.194,0.187,0.0,0.013,0.061
Tony Parker,2016-17,0.0,0.065,0.0,0.0,0.0,0.038,0.147,0.171,0.073,0.039,0.449
Tony Snell,2016-17,0.0,0.021,0.019,0.041,0.0,0.041,0.211,0.399,0.131,0.058,0.068
Trevor Ariza,2016-17,0.016,0.039,0.03,0.033,0.0,0.056,0.278,0.402,0.025,0.067,0.051
Trevor Booker,2016-17,0.174,0.068,0.095,0.119,0.145,0.06,0.172,0.148,0.0,0.0,0.0
Trey Burke,2016-17,0.0,0.096,0.0,0.0,0.0,0.045,0.147,0.163,0.067,0.048,0.419
Trey Lyles,2016-17,0.139,0.028,0.056,0.039,0.054,0.048,0.078,0.442,0.022,0.054,0.039
Tristan Thompson,2016-17,0.256,0.0,0.211,0.286,0.0,0.1,0.105,0.0,0.0,0.0,0.0
Troy Daniels,2016-17,0.0,0.027,0.0,0.0,0.0,0.052,0.097,0.241,0.133,0.315,0.11
Troy Williams,2016-17,0.0,0.0,0.0,0.075,0.0,0.119,0.241,0.333,0.0,0.0,0.082
Ty Lawson,2016-17,0.0,0.044,0.023,0.021,0.0,0.079,0.162,0.174,0.036,0.02,0.44
Tyler Ennis,2016-17,0.0,0.0,0.0,0.0,0.0,0.069,0.154,0.137,0.0,0.0,0.503
Tyler Johnson,2016-17,0.0,0.039,0.022,0.053,0.0,0.041,0.161,0.211,0.121,0.069,0.276
Tyler Ulis,2016-17,0.0,0.091,0.0,0.0,0.0,0.062,0.154,0.09,0.022,0.0,0.55
Tyler Zeller,2016-17,0.332,0.0,0.133,0.204,0.0,0.077,0.097,0.071,0.0,0.0,0.0
Tyreke Evans,2016-17,0.0,0.114,0.0,0.0,0.0,0.0,0.168,0.131,0.042,0.0,0.313
Tyson Chandler,2016-17,0.17,0.0,0.261,0.3,0.0,0.19,0.054,0.0,0.0,0.0,0.0
Tyus Jones,2016-17,0.0,0.059,0.0,0.0,0.0,0.08,0.197,0.282,0.0,0.0,0.311
Victor Oladipo,2016-17,0.0,0.042,0.013,0.056,0.0,0.03,0.233,0.214,0.047,0.051,0.298
Vince Carter,2016-17,0.0,0.04,0.037,0.029,0.071,0.064,0.076,0.336,0.079,0.11,0.155
Wade Baldwin IV,2016-17,0.0,0.058,0.0,0.0,0.0,0.135,0.193,0.14,0.0,0.0,0.339
Wayne Ellington,2016-17,0.0,0.018,0.0,0.02,0.0,0.023,0.113,0.307,0.167,0.255,0.08
Wayne Selden,2016-17,0.0,0.0,0.0,0.0,0.0,0.0,0.152,0.303,0.152,0.0,0.0
Wesley Johnson,2016-17,0.103,0.0,0.054,0.063,0.0,0.076,0.125,0.487,0.0,0.0,0.0
Wesley Matthews,2016-17,0.014,0.113,0.0,0.019,0.082,0.042,0.097,0.305,0.052,0.147,0.123
Will Barton,2016-17,0.0,0.075,0.032,0.057,0.0,0.048,0.201,0.188,0.061,0.031,0.302
Willie Cauley-Stein,2016-17,0.201,0.079,0.081,0.253,0.118,0.076,0.091,0.088,0.0,0.0,0.0
Willie Reed,2016-17,0.169,0.0,0.264,0.329,0.065,0.067,0.067,0.034,0.0,0.0,0.0
Willy Hernangomez,2016-17,0.218,0.031,0.173,0.218,0.123,0.082,0.081,0.068,0.0,0.0,0.0
Wilson Chandler,2016-17,0.08,0.118,0.05,0.061,0.055,0.035,0.13,0.262,0.06,0.047,0.102
Yogi Ferrell,2016-17,0.0,0.076,0.0,0.0,0.0,0.069,0.116,0.197,0.0,0.053,0.507
Zach LaVine,2016-17,0.0,0.092,0.0,0.014,0.0,0.027,0.2,0.169,0.185,0.078,0.222
Zach Randolph,2016-17,0.116,0.132,0.133,0.069,0.323,0.05,0.037,0.112,0.0,0.015,0.0
Zaza Pachulia,2016-17,0.114,0.031,0.131,0.312,0.127,0.109,0.091,0.071,0.0,0.0,0.0
Aaron Gordon,2017-18,0.053,0.09,0.05,0.058,0.09,0.038,0.201,0.213,0.047,0.067,0.094
Aaron Harrison,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.413,0.0,0.0,0.175
Abdel Nader,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.397,0.05,0.07,0.151
Al Horford,2017-18,0.205,0.035,0.042,0.062,0.265,0.071,0.08,0.183,0.0,0.021,0.026
Al Jefferson,2017-18,0.233,0.0,0.092,0.129,0.408,0.0,0.0,0.05,0.0,0.0,0.0
Al-Farouq Aminu,2017-18,0.126,0.024,0.073,0.055,0.0,0.052,0.132,0.473,0.023,0.014,0.016
Alan Williams,2017-18,0.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,2017-18,0.0,0.113,0.0,0.047,0.0,0.038,0.166,0.257,0.087,0.042,0.236
Alec Peters,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.171,0.39,0.0,0.122,0.0
Alex Abrines,2017-18,0.0,0.03,0.036,0.0,0.0,0.048,0.159,0.491,0.033,0.09,0.066
Alex Caruso,2017-18,0.0,0.0,0.0,0.083,0.0,0.101,0.195,0.166,0.0,0.0,0.302
Alex Len,2017-18,0.211,0.018,0.22,0.213,0.129,0.109,0.057,0.039,0.0,0.0,0.0
Allen Crabbe,2017-18,0.0,0.031,0.0,0.02,0.0,0.03,0.149,0.305,0.147,0.239,0.068
Amir Johnson,2017-18,0.107,0.0,0.18,0.268,0.065,0.146,0.09,0.121,0.0,0.0,0.0
Andre Drummond,2017-18,0.111,0.083,0.267,0.16,0.131,0.13,0.088,0.03,0.0,0.0,0.0
Andre Iguodala,2017-18,0.0,0.054,0.045,0.096,0.045,0.075,0.261,0.256,0.054,0.042,0.054
Andre Roberson,2017-18,0.0,0.0,0.153,0.297,0.0,0.096,0.201,0.206,0.0,0.0,0.0
Andrew Harrison,2017-18,0.0,0.103,0.0,0.017,0.0,0.059,0.138,0.193,0.043,0.0,0.426
Andrew White III,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.171,0.524,0.0,0.0,0.0
Andrew Wiggins,2017-18,0.015,0.087,0.032,0.06,0.099,0.034,0.129,0.208,0.08,0.019,0.235
Anthony Davis,2017-18,0.142,0.076,0.074,0.115,0.187,0.064,0.135,0.123,0.015,0.057,0.014
Anthony Tolliver,2017-18,0.074,0.0,0.029,0.057,0.0,0.067,0.171,0.497,0.027,0.063,0.0
Antonio Blakeney,2017-18,0.0,0.124,0.0,0.0,0.0,0.0,0.265,0.229,0.124,0.0,0.176
Aron Baynes,2017-18,0.202,0.0,0.149,0.216,0.147,0.128,0.025,0.128,0.0,0.0,0.0
Arron Afflalo,2017-18,0.0,0.0,0.0,0.0,0.128,0.0,0.144,0.405,0.051,0.103,0.056
Austin Rivers,2017-18,0.0,0.218,0.0,0.029,0.0,0.024,0.083,0.158,0.06,0.022,0.395
Avery Bradley,2017-18,0.0,0.029,0.022,0.072,0.0,0.047,0.219,0.172,0.321,0.115,0.266
Bam Adebayo,2017-18,0.208,0.025,0.151,0.258,0.113,0.089,0.089,0.056,0.0,0.0,0.0
Ben McLemore,2017-18,0.0,0.0,0.035,0.087,0.0,0.074,0.169,0.297,0.076,0.13,0.119
Ben Simmons,2017-18,0.0,0.09,0.05,0.09,0.092,0.103,0.193,0.048,0.021,0.008,0.299
Bismack Biyombo,2017-18,0.24,0.0,0.167,0.337,0.045,0.128,0.051,0.026,0.0,0.0,0.0
Blake Griffin,2017-18,0.148,0.125,0.042,0.049,0.233,0.059,0.095,0.121,0.014,0.017,0.114
Bobby Portis,2017-18,0.194,0.044,0.128,0.07,0.141,0.054,0.097,0.231,0.011,0.027,0.0
Bogdan Bogdanovic,2017-18,0.0,0.055,0.0,0.035,0.02,0.064,0.113,0.188,0.102,0.105,0.309
Bojan Bogdanovic,2017-18,0.016,0.039,0.013,0.042,0.026,0.037,0.259,0.223,0.063,0.212,0.069
Bradley Beal,2017-18,0.0,0.129,0.014,0.04,0.011,0.049,0.151,0.098,0.07,0.156,0.279
Brandan Wright,2017-18,0.281,0.0,0.14,0.256,0.083,0.0,0.116,0.0,0.0,0.0,0.0
Brandon Ingram,2017-18,0.0,0.142,0.038,0.057,0.036,0.042,0.174,0.119,0.072,0.024,0.295
Brandon Jennings,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.245,0.0,0.0,0.372
Briante Weber,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.344,0.0,0.0,0.0,0.438
Brook Lopez,2017-18,0.182,0.026,0.056,0.046,0.255,0.061,0.082,0.271,0.0,0.017,0.0
Bruno Caboclo,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457,0.0,0.0,0.0
Bryn Forbes,2017-18,0.0,0.0,0.0,0.0,0.0,0.018,0.166,0.428,0.112,0.078,0.173
Buddy Hield,2017-18,0.0,0.072,0.03,0.029,0.0,0.05,0.228,0.205,0.084,0.106,0.192
C.J. Williams,2017-18,0.0,0.048,0.0,0.097,0.0,0.044,0.185,0.388,0.053,0.0,0.115
CJ McCollum,2017-18,0.0,0.13,0.018,0.016,0.0,0.032,0.139,0.131,0.081,0.117,0.331
CJ Miles,2017-18,0.0,0.0,0.015,0.0,0.0,0.037,0.163,0.403,0.08,0.226,0.051
Cameron Payne,2017-18,0.0,0.058,0.0,0.0,0.0,0.039,0.183,0.187,0.07,0.0,0.393
Caris LeVert,2017-18,0.0,0.119,0.028,0.024,0.0,0.039,0.168,0.206,0.043,0.032,0.342
Carmelo Anthony,2017-18,0.069,0.181,0.038,0.013,0.144,0.046,0.129,0.239,0.0,0.026,0.109
Chandler Parsons,2017-18,0.0,0.0,0.0,0.0,0.0,0.036,0.147,0.326,0.0,0.043,0.283
Channing Frye,2017-18,0.161,0.0,0.0,0.063,0.208,0.052,0.104,0.396,0.0,0.068,0.0
Cheick Diallo,2017-18,0.273,0.0,0.117,0.225,0.052,0.087,0.104,0.117,0.0,0.0,0.0
Chris Paul,2017-18,0.0,0.293,0.0,0.0,0.033,0.071,0.126,0.058,0.022,0.014,0.364
Clint Capela,2017-18,0.321,0.022,0.139,0.269,0.036,0.067,0.121,0.011,0.0,0.0,0.0
Cody Zeller,2017-18,0.244,0.0,0.151,0.187,0.0,0.133,0.067,0.098,0.0,0.076,0.0
Corey Brewer,2017-18,0.0,0.0,0.06,0.081,0.0,0.085,0.311,0.268,0.0,0.0,0.089
Cory Joseph,2017-18,0.0,0.063,0.014,0.016,0.0,0.061,0.148,0.248,0.076,0.022,0.347
Courtney Lee,2017-18,0.0,0.082,0.015,0.027,0.0,0.033,0.184,0.234,0.067,0.103,0.252
Cristiano Felicio,2017-18,0.277,0.036,0.124,0.147,0.114,0.107,0.101,0.081,0.0,0.0,0.0
D'Angelo Russell,2017-18,0.0,0.123,0.013,0.015,0.015,0.044,0.13,0.124,0.039,0.059,0.435
D.J. Augustin,2017-18,0.0,0.051,0.0,0.023,0.0,0.058,0.166,0.196,0.065,0.051,0.378
Damian Lillard,2017-18,0.0,0.158,0.015,0.02,0.0,0.04,0.106,0.061,0.07,0.052,0.474
Damion Lee,2017-18,0.0,0.0,0.0,0.0,0.0,0.062,0.213,0.287,0.084,0.09,0.146
Damyean Dotson,2017-18,0.0,0.0,0.0,0.081,0.0,0.0,0.2,0.308,0.0,0.141,0.124
Daniel Theis,2017-18,0.282,0.0,0.161,0.155,0.05,0.124,0.056,0.161,0.0,0.0,0.0
Danilo Gallinari,2017-18,0.066,0.16,0.0,0.047,0.1,0.05,0.154,0.257,0.044,0.053,0.047
Danny Green,2017-18,0.0,0.02,0.029,0.032,0.0,0.059,0.169,0.461,0.065,0.056,0.109
Dante Cunningham,2017-18,0.253,0.0,0.074,0.117,0.0,0.05,0.093,0.358,0.0,0.0,0.0
Dante Exum,2017-18,0.0,0.09,0.0,0.0,0.0,0.0,0.205,0.213,0.0,0.0,0.32
Danuel House Jr.,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.298,0.0,0.086,0.106
Dario Saric,2017-18,0.045,0.032,0.065,0.111,0.08,0.045,0.173,0.316,0.032,0.074,0.027
Darius Miller,2017-18,0.0,0.034,0.0,0.0,0.0,0.039,0.157,0.416,0.076,0.189,0.074
Darren Collison,2017-18,0.0,0.07,0.018,0.022,0.0,0.045,0.249,0.202,0.056,0.02,0.315
David Nwaba,2017-18,0.0,0.061,0.078,0.131,0.036,0.056,0.297,0.193,0.058,0.029,0.061
David West,2017-18,0.14,0.0,0.085,0.159,0.183,0.093,0.085,0.157,0.0,0.073,0.0
Davis Bertans,2017-18,0.095,0.0,0.0,0.053,0.0,0.062,0.146,0.513,0.038,0.033,0.026
Davon Reed,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.312,0.0,0.204,0.161
De'Aaron Fox,2017-18,0.0,0.054,0.012,0.025,0.0,0.048,0.228,0.14,0.047,0.019,0.427
DeAndre Jordan,2017-18,0.182,0.0,0.282,0.195,0.093,0.152,0.09,0.0,0.0,0.0,0.0
DeAndre Liggins,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.55,0.0,0.0,0.0
DeAndre' Bembry,2017-18,0.0,0.0,0.0,0.0,0.0,0.079,0.215,0.267,0.052,0.0,0.272
DeMar DeRozan,2017-18,0.0,0.133,0.013,0.022,0.07,0.04,0.097,0.095,0.039,0.08,0.41
DeMarcus Cousins,2017-18,0.084,0.127,0.063,0.042,0.166,0.08,0.134,0.2,0.015,0.035,0.055
DeMarre Carroll,2017-18,0.019,0.059,0.051,0.029,0.0,0.037,0.241,0.386,0.05,0.047,0.077
Dejounte Murray,2017-18,0.0,0.076,0.072,0.087,0.0,0.056,0.209,0.129,0.022,0.0,0.335
Delon Wright,2017-18,0.0,0.057,0.048,0.021,0.0,0.048,0.195,0.234,0.038,0.0,0.35
Dennis Schroder,2017-18,0.0,0.151,0.0,0.0,0.0,0.041,0.073,0.085,0.073,0.076,0.49
Dennis Smith Jr.,2017-18,0.0,0.187,0.016,0.018,0.013,0.061,0.167,0.106,0.063,0.047,0.321
Denzel Valentine,2017-18,0.0,0.036,0.013,0.029,0.0,0.032,0.186,0.255,0.119,0.055,0.273
Derrick Favors,2017-18,0.273,0.0,0.121,0.253,0.075,0.048,0.074,0.136,0.0,0.012,0.0
Derrick Jones Jr.,2017-18,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0
Derrick Rose,2017-18,0.0,0.061,0.0,0.067,0.0,0.0,0.254,0.19,0.0,0.0,0.317
Devin Booker,2017-18,0.0,0.117,0.01,0.027,0.055,0.047,0.198,0.077,0.059,0.124,0.282
Devin Harris,2017-18,0.0,0.032,0.0,0.092,0.0,0.064,0.16,0.361,0.053,0.079,0.251
Dewayne Dedmon,2017-18,0.261,0.0,0.09,0.156,0.02,0.1,0.076,0.256,0.0,0.017,0.0
Deyonta Davis,2017-18,0.404,0.0,0.168,0.174,0.031,0.062,0.084,0.062,0.0,0.0,0.0
Dillon Brooks,2017-18,0.0,0.06,0.022,0.054,0.01,0.065,0.172,0.258,0.068,0.054,0.234
Dion Waiters,2017-18,0.0,0.173,0.0,0.0,0.0,0.025,0.125,0.205,0.074,0.064,0.324
Dirk Nowitzki,2017-18,0.245,0.032,0.019,0.035,0.191,0.049,0.074,0.319,0.014,0.02,0.0
Domantas Sabonis,2017-18,0.421,0.0,0.097,0.133,0.132,0.068,0.06,0.085,0.0,0.0,0.0
Donovan Mitchell,2017-18,0.0,0.076,0.015,0.028,0.0,0.038,0.135,0.145,0.101,0.072,0.388
Dorian Finney-Smith,2017-18,0.0,0.0,0.081,0.081,0.0,0.0,0.149,0.331,0.0,0.095,0.122
Doug McDermott,2017-18,0.0,0.0,0.052,0.075,0.0,0.06,0.104,0.311,0.057,0.185,0.047
Dragan Bender,2017-18,0.115,0.024,0.036,0.046,0.052,0.075,0.137,0.437,0.0,0.042,0.021
Draymond Green,2017-18,0.08,0.045,0.047,0.13,0.072,0.12,0.198,0.243,0.0,0.019,0.038
Dwayne Bacon,2017-18,0.0,0.058,0.0,0.0,0.0,0.0,0.156,0.342,0.062,0.089,0.258
Dwight Buycks,2017-18,0.0,0.125,0.0,0.047,0.0,0.078,0.113,0.105,0.039,0.0,0.482
Dwight Howard,2017-18,0.125,0.04,0.144,0.122,0.363,0.09,0.047,0.06,0.0,0.008,0.0
Dwight Powell,2017-18,0.266,0.019,0.084,0.268,0.039,0.082,0.068,0.149,0.0,0.021,0.0
Dwyane Wade,2017-18,0.0,0.069,0.034,0.047,0.104,0.06,0.145,0.119,0.063,0.0,0.362
E'Twaun Moore,2017-18,0.01,0.032,0.034,0.06,0.011,0.041,0.274,0.296,0.053,0.112,0.076
Ed Davis,2017-18,0.206,0.0,0.279,0.269,0.055,0.119,0.035,0.025,0.0,0.0,0.0
Ekpe Udoh,2017-18,0.28,0.0,0.171,0.25,0.0,0.128,0.116,0.0,0.0,0.0,0.0
Elfrid Payton,2017-18,0.0,0.071,0.034,0.043,0.0,0.075,0.139,0.114,0.027,0.0,0.495
Emeka Okafor,2017-18,0.136,0.0,0.169,0.347,0.119,0.0,0.119,0.0,0.0,0.0,0.0
Emmanuel Mudiay,2017-18,0.0,0.091,0.0,0.042,0.0,0.049,0.159,0.125,0.045,0.042,0.428
Enes Kanter,2017-18,0.186,0.015,0.243,0.147,0.239,0.073,0.068,0.021,0.0,0.0,0.0
Eric Bledsoe,2017-18,0.0,0.073,0.022,0.023,0.01,0.068,0.214,0.191,0.029,0.016,0.411
Eric Gordon,2017-18,0.009,0.097,0.012,0.017,0.0,0.044,0.167,0.27,0.065,0.112,0.205
Eric Moreland,2017-18,0.172,0.0,0.161,0.293,0.0,0.155,0.109,0.0,0.0,0.0,0.0
Ersan Ilyasova,2017-18,0.073,0.0,0.115,0.126,0.057,0.107,0.153,0.237,0.033,0.061,0.0
Evan Fournier,2017-18,0.0,0.039,0.014,0.049,0.0,0.044,0.147,0.195,0.125,0.201,0.178
Evan Turner,2017-18,0.0,0.096,0.024,0.03,0.158,0.051,0.148,0.213,0.039,0.035,0.201
Frank Kaminsky,2017-18,0.194,0.063,0.02,0.037,0.101,0.046,0.095,0.341,0.013,0.078,0.013
Frank Mason,2017-18,0.0,0.1,0.026,0.0,0.0,0.043,0.207,0.128,0.067,0.0,0.396
Frank Ntilikina,2017-18,0.0,0.05,0.015,0.0,0.0,0.082,0.136,0.195,0.066,0.04,0.395
Fred VanVleet,2017-18,0.0,0.083,0.0,0.0,0.0,0.039,0.186,0.248,0.056,0.036,0.328
Garrett Temple,2017-18,0.0,0.06,0.026,0.056,0.0,0.053,0.158,0.276,0.07,0.099,0.192
Gary Harris,2017-18,0.0,0.034,0.011,0.059,0.0,0.033,0.19,0.231,0.225,0.071,0.141
Gary Payton II,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.0,0.0,0.0,0.292
George Hill,2017-18,0.0,0.061,0.023,0.035,0.0,0.074,0.178,0.235,0.084,0.079,0.33
Gerald Green,2017-18,0.0,0.052,0.0,0.022,0.0,0.037,0.189,0.331,0.071,0.14,0.123
Giannis Antetokounmpo,2017-18,0.058,0.139,0.06,0.081,0.124,0.046,0.222,0.126,0.019,0.012,0.113
Glenn Robinson III,2017-18,0.0,0.0,0.0,0.137,0.0,0.0,0.158,0.379,0.0,0.105,0.105
Goran Dragic,2017-18,0.0,0.054,0.021,0.032,0.01,0.038,0.158,0.139,0.118,0.027,0.397
Gorgui Dieng,2017-18,0.24,0.0,0.091,0.113,0.063,0.083,0.077,0.313,0.0,0.0,0.0
Greg Monroe,2017-18,0.161,0.047,0.14,0.093,0.415,0.093,0.074,0.05,0.0,0.0,0.0
Harrison Barnes,2017-18,0.049,0.219,0.027,0.037,0.168,0.03,0.069,0.181,0.017,0.104,0.1
Hassan Whiteside,2017-18,0.218,0.034,0.189,0.16,0.21,0.082,0.043,0.051,0.0,0.0,0.0
Ian Clark,2017-18,0.0,0.023,0.0,0.056,0.0,0.031,0.199,0.285,0.054,0.098,0.227
Ian Mahinmi,2017-18,0.154,0.0,0.218,0.31,0.035,0.161,0.072,0.032,0.0,0.0,0.0
Iman Shumpert,2017-18,0.0,0.228,0.0,0.0,0.0,0.0,0.0,0.228,0.0,0.0,0.215
Isaiah Canaan,2017-18,0.0,0.106,0.0,0.0,0.0,0.053,0.122,0.185,0.063,0.0,0.429
Isaiah Hicks,2017-18,0.206,0.0,0.0,0.216,0.134,0.0,0.124,0.155,0.0,0.0,0.0
Isaiah Taylor,2017-18,0.0,0.066,0.0,0.0,0.0,0.042,0.177,0.175,0.039,0.041,0.435
Isaiah Thomas,2017-18,0.0,0.065,0.0,0.0,0.0,0.046,0.137,0.142,0.069,0.042,0.348
Isaiah Whitehead,2017-18,0.0,0.144,0.0,0.0,0.0,0.0,0.136,0.169,0.0,0.0,0.458
Ish Smith,2017-18,0.0,0.071,0.01,0.028,0.0,0.045,0.252,0.138,0.077,0.0,0.37
Ivan Rabb,2017-18,0.183,0.0,0.168,0.193,0.149,0.109,0.099,0.059,0.0,0.0,0.0
J.J. Barea,2017-18,0.0,0.074,0.0,0.0,0.0,0.042,0.114,0.136,0.097,0.037,0.487
JJ Redick,2017-18,0.017,0.0,0.0,0.035,0.0,0.061,0.164,0.18,0.241,0.173,0.113
JR Smith,2017-18,0.02,0.099,0.0,0.017,0.0,0.062,0.18,0.294,0.076,0.142,0.099
JaKarr Sampson,2017-18,0.0,0.0,0.177,0.198,0.115,0.0,0.146,0.177,0.0,0.0,0.0
JaMychal Green,2017-18,0.083,0.036,0.168,0.16,0.099,0.062,0.109,0.267,0.0,0.0,0.0
Jabari Parker,2017-18,0.05,0.094,0.057,0.107,0.03,0.047,0.186,0.238,0.03,0.0,0.139
Jack Cooley,2017-18,0.0,0.0,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jae Crowder,2017-18,0.089,0.028,0.028,0.096,0.039,0.034,0.181,0.363,0.071,0.054,0.11
Jahlil Okafor,2017-18,0.229,0.089,0.083,0.153,0.261,0.0,0.0,0.076,0.0,0.0,0.0
Jakob Poeltl,2017-18,0.247,0.0,0.192,0.296,0.031,0.118,0.088,0.027,0.0,0.0,0.0
Jalen Jones,2017-18,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.372,0.0,0.0,0.0
Jamal Crawford,2017-18,0.0,0.198,0.0,0.0,0.0,0.04,0.137,0.21,0.058,0.033,0.308
Jamal Murray,2017-18,0.0,0.103,0.023,0.052,0.0,0.055,0.135,0.177,0.118,0.073,0.257
Jameer Nelson,2017-18,0.0,0.063,0.0,0.0,0.0,0.074,0.152,0.264,0.097,0.0,0.451
Jamel Artis,2017-18,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.387,0.0,0.0,0.108
James Ennis III,2017-18,0.0,0.0,0.061,0.096,0.0,0.078,0.247,0.253,0.051,0.051,0.102
James Harden,2017-18,0.0,0.35,0.007,0.01,0.018,0.05,0.115,0.051,0.032,0.01,0.358
James Johnson,2017-18,0.068,0.143,0.025,0.074,0.041,0.086,0.119,0.255,0.035,0.017,0.137
James Webb III,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.0,0.0,0.0
Jamil Wilson,2017-18,0.132,0.0,0.0,0.0,0.0,0.0,0.143,0.538,0.0,0.11,0.0
Jared Dudley,2017-18,0.078,0.0,0.0,0.0,0.0,0.133,0.211,0.44,0.0,0.0,0.0
Jarell Martin,2017-18,0.068,0.038,0.097,0.119,0.033,0.068,0.187,0.317,0.017,0.0,0.044
Jarrett Allen,2017-18,0.359,0.0,0.133,0.29,0.0,0.104,0.055,0.046,0.0,0.0,0.0
Jarrett Jack,2017-18,0.0,0.063,0.0,0.0,0.0,0.085,0.139,0.151,0.02,0.02,0.502
Jason Terry,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.265,0.431,0.077,0.077,0.0
Jawun Evans,2017-18,0.0,0.066,0.0,0.0,0.0,0.063,0.209,0.269,0.072,0.0,0.275
Jaylen Brown,2017-18,0.0,0.065,0.041,0.081,0.061,0.04,0.242,0.279,0.052,0.055,0.08
Jaylen Morris,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432,0.0,0.0,0.0
Jayson Tatum,2017-18,0.021,0.106,0.021,0.031,0.041,0.031,0.192,0.273,0.081,0.081,0.123
Jeff Green,2017-18,0.059,0.075,0.056,0.123,0.113,0.061,0.206,0.262,0.0,0.018,0.021
Jeff Teague,2017-18,0.0,0.143,0.0,0.0,0.009,0.086,0.16,0.126,0.021,0.009,0.428
Jerami Grant,2017-18,0.267,0.042,0.066,0.102,0.079,0.045,0.125,0.256,0.0,0.0,0.0
Jeremy Lamb,2017-18,0.0,0.082,0.026,0.047,0.0,0.044,0.121,0.17,0.047,0.11,0.346
Jeremy Lin,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778
Jerian Grant,2017-18,0.0,0.103,0.0,0.0,0.0,0.073,0.127,0.213,0.048,0.019,0.403
Jerryd Bayless,2017-18,0.0,0.046,0.0,0.088,0.0,0.055,0.256,0.335,0.085,0.046,0.076
Jimmy Butler,2017-18,0.012,0.128,0.036,0.053,0.083,0.056,0.12,0.118,0.06,0.023,0.312
Jodie Meeks,2017-18,0.0,0.0,0.0,0.021,0.0,0.025,0.178,0.287,0.098,0.263,0.1
Joe Harris,2017-18,0.0,0.0,0.037,0.072,0.0,0.041,0.161,0.335,0.113,0.162,0.064
Joe Ingles,2017-18,0.0,0.054,0.0,0.016,0.0,0.042,0.125,0.268,0.087,0.155,0.24
Joe Johnson,2017-18,0.041,0.118,0.0,0.0,0.18,0.0,0.075,0.292,0.0,0.06,0.068
Joe Young,2017-18,0.0,0.081,0.0,0.0,0.0,0.054,0.188,0.265,0.103,0.0,0.274
Joel Embiid,2017-18,0.084,0.066,0.066,0.075,0.397,0.074,0.072,0.116,0.011,0.021,0.018
John Collins,2017-18,0.225,0.026,0.15,0.233,0.048,0.112,0.091,0.098,0.0,0.0,0.0
John Henson,2017-18,0.167,0.0,0.141,0.364,0.066,0.09,0.095,0.064,0.0,0.0,0.0
John Wall,2017-18,0.0,0.229,0.011,0.0,0.028,0.056,0.243,0.117,0.016,0.0,0.294
Johnathan Motley,2017-18,0.165,0.0,0.113,0.134,0.186,0.0,0.103,0.175,0.0,0.0,0.0
Johnny O'Bryant III,2017-18,0.19,0.062,0.056,0.128,0.185,0.067,0.067,0.236,0.0,0.0,0.0
Jon Leuer,2017-18,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.0
Jonas Jerebko,2017-18,0.081,0.0,0.066,0.097,0.0,0.041,0.173,0.491,0.0,0.0,0.0
Jonas Valanciunas,2017-18,0.26,0.029,0.145,0.192,0.17,0.078,0.046,0.074,0.0,0.0,0.0
